,dBA
1686,58.5
1687,72.7
1688,61.0
1689,61.1
1690,58.6
1691,75.7
1692,58.6
1693,59.8
1694,58.4
1695,70.3
1696,56.2
1697,59.8
1698,59.0
1699,72.2
1700,57.1
1701,59.5
1702,58.6
1703,69.9
1704,56.3
1705,59.0
1706,59.0
1707,68.4
1708,59.3
1709,58.9
1710,58.8
1711,76.1
1712,55.8
1713,60.0
1714,58.6
1715,74.3
1716,57.5
1717,59.5
1718,58.6
1719,71.3
1720,55.2
1721,58.8
1722,58.4
1723,74.1
1724,62.3
1725,59.2
1726,57.9
1727,79.2
1728,53.2
1729,58.4
1730,57.9
1731,70.0
1732,56.0
1733,60.5
1734,58.5
1735,73.3
1736,57.8
1737,60.6
1738,58.7
1739,73.2
1740,57.4
1741,58.5
1742,58.8
1743,67.9
1744,59.5
1745,58.1
1746,58.9
1747,72.8
1748,53.9
1749,59.3
1750,59.0
1751,72.0
1752,58.5
1753,59.9
1754,58.1
1755,67.2
1756,61.1
1757,59.9
1758,58.2
1759,73.3
1760,62.3
1761,59.2
1762,58.1
1763,72.2
1764,59.1
1765,58.7
1766,58.2
1767,72.4
1768,59.7
1769,59.9
1770,58.9
1771,68.0
1772,58.0
1773,58.7
1774,59.0
1775,75.1
1776,54.0
1777,59.7
1778,58.3
1779,75.6
1780,59.0
1781,59.4
1782,58.3
1783,72.4
1784,61.5
1785,59.0
1786,58.1
1787,73.1
1788,60.5
1789,60.0
1790,58.3
1791,70.4
1792,58.7
1793,58.2
1794,59.5
1795,73.2
1796,59.7
1797,60.1
1798,59.7
1799,72.9
1800,59.4
1801,60.3
1802,59.0
1803,72.6
1804,64.1
1805,59.0
1806,59.0
1807,69.7
1808,54.6
1809,58.5
1810,58.6
1811,71.2
1812,57.8
1813,57.8
1814,58.7
1815,73.2
1816,56.0
1817,59.1
1818,59.7
1819,72.4
1820,54.8
1821,59.3
1822,59.3
1823,74.2
1824,52.9
1825,59.4
1826,59.2
1827,69.5
1828,58.6
1829,59.9
1830,58.7
1831,73.7
1832,56.7
1833,58.4
1834,58.9
1835,72.8
1836,56.4
1837,59.9
1838,58.7
1839,74.4
1840,56.0
1841,58.5
1842,58.7
1843,70.9
1844,53.2
1845,60.3
1846,58.9
1847,75.4
1848,58.4
1849,60.0
1850,59.1
1851,73.7
1852,56.9
1853,60.7
1854,60.0
1855,73.6
1856,58.6
1857,61.0
1858,59.5
1859,71.7
1860,54.4
1861,59.3
1862,59.5
1863,75.5
1864,59.5
1865,56.5
1866,59.1
1867,74.8
1868,58.6
1869,57.3
1870,59.5
1871,70.4
1872,59.6
1873,59.1
1874,59.3
1875,71.1
1876,62.3
1877,57.9
1878,59.7
1879,74.0
1880,57.7
1881,58.0
1882,59.5
1883,72.3
1884,58.3
1885,58.6
1886,59.4
1887,69.0
1888,57.2
1889,58.3
1890,59.5
1891,74.1
1892,58.5
1893,58.7
1894,59.8
1895,74.5
1896,57.0
1897,59.7
1898,59.2
1899,72.9
1900,60.8
1901,57.6
1902,59.4
1903,74.2
1904,59.2
1905,59.0
1906,62.3
1907,72.8
1908,60.1
1909,60.1
1910,59.3
1911,72.7
1912,58.8
1913,58.2
1914,59.0
1915,75.6
1916,61.2
1917,59.6
1918,59.3
1919,73.9
1920,57.7
1921,58.4
1922,58.5
1923,69.6
1924,55.0
1925,57.1
1926,58.7
1927,75.7
1928,60.2
1929,59.2
1930,59.1
1931,74.4
1932,58.4
1933,56.9
1934,59.1
1935,75.8
1936,58.3
1937,58.7
1938,60.4
1939,72.9
1940,53.8
1941,59.7
1942,58.9
1943,75.4
1944,55.4
1945,57.7
1946,59.9
1947,69.3
1948,54.6
1949,57.8
1950,60.1
1951,74.9
1952,55.9
1953,57.0
1954,60.7
1955,76.4
